sku_id,weekenddt,qtysold,qtyinstock,qtyorder,unit,avg_lead_days,max_lead_days,unit_price,category,product,loc
2680BA,25/06/2023,8,46,7,Unit,45,68,24.00,Parts,Window Handle,NSW
2673BA,25/06/2023,1,12,6,Unit,60,95,22.00,Parts,Window Lock,NSW
2672BA,25/06/2023,5,36,4,Unit,120,171,14.00,Parts,Countertop Support Bracket,NSW
2670CA,25/06/2023,1,51,7,Unit,60,82,28.00,Parts,Countertop Joining Bracket,NSW
2662CA,25/06/2023,14,18,1,Unit,60,82,13.00,Parts,Cabinet Pull,NSW
2661CA,25/06/2023,5,7,3,Unit,120,157,16.00,Parts,Cabinet Drawer,NSW
2646AA,25/06/2023,6,3,4,Unit,120,157,16.00,Parts,Cabinet Knob,NSW
2640BA,25/06/2023,10,28,1,Unit,60,84,30.00,Parts,Door Hinge Plate,NSW
2632AA,25/06/2023,0,21,5,Unit,30,41,12.00,Parts,Door Hinge Pin,NSW
2621AA,25/06/2023,12,56,6,Unit,60,80,9.00,Parts,Window Latch,NSW
2606AA,25/06/2023,2,1,0,Unit,60,79,6.00,Parts,Threaded Insert,QLD
2604CA,25/06/2023,13,29,0,Unit,30,42,10.00,Parts,T-Nut,QLD
2600BA,25/06/2023,13,16,3,Unit,60,80,19.00,Parts,Angle Bracket,QLD
2573CA,25/06/2023,9,15,5,Unit,60,81,29.00,Parts,Corner Brace,QLD
2565CA,25/06/2023,3,8,1,Unit,30,40,18.00,Parts,Tension Pin,QLD
2564BA,25/06/2023,6,28,4,Unit,60,96,10.00,Parts,Wing Nut,QLD
2555CA,25/06/2023,1,36,5,Unit,30,44,12.00,Parts,Cap Nut,QLD
2548CA,25/06/2023,15,20,7,Unit,30,41,19.00,Parts,Lag Screw,QLD
2539AA,25/06/2023,4,58,3,Unit,30,45,23.00,Parts,Carriage Bolt,QLD
2429BA,25/06/2023,15,17,5,Unit,90,122,28.00,Parts,Furniture Connector,QLD
2422BA,25/06/2023,3,4,1,Unit,30,45,28.00,Parts,Table Leg,QLD
2418CA,25/06/2023,8,16,5,Unit,60,85,13.00,Parts,Furniture Feet,QLD
2396CA,25/06/2023,12,42,4,Unit,30,46,6.00,Parts,Table Leg ,NSW
2391CA,25/06/2023,12,56,5,Unit,45,67,26.00,Parts,Turned Leg,NSW
2371CA,25/06/2023,27,16,2,Unit,90,136,28.00,Parts,Dowel Rod,NSW
2365AA,25/06/2023,29,7,0,Unit,60,83,7.00,Parts,Dowel Pin,NSW
2359CA,25/06/2023,22,7,6,Unit,90,121,22.00,Parts,Finial,NSW
2348BA,25/06/2023,28,13,4,Unit,60,89,14.00,Parts,Newel Post,NSW
2342CA,25/06/2023,15,52,2,Unit,60,86,6.00,Parts,Baluster,QLD
2337CA,25/06/2023,30,37,1,Unit,60,83,22.00,Parts,Rail Bracket,QLD
2336BA,25/06/2023,20,53,0,Unit,30,44,20.00,Parts,Post Cap,QLD
2331CA,25/06/2023,15,5,7,Unit,60,83,11.00,Parts,Bracket,QLD
2326CA,25/06/2023,26,55,5,Unit,30,46,24.00,Parts,Corbel,QLD
2317CA,25/06/2023,5,36,0,Unit,60,89,18.00,Parts,Corner Block,NSW
2315BA,25/06/2023,7,25,4,Unit,120,182,19.00,Parts,Corner Bead,NSW
2293AA,25/06/2023,10,44,5,Unit,60,79,23.00,Parts,Corner Guard,NSW
2291AA,25/06/2023,7,56,1,Unit,120,191,25.00,Parts,Trim Board,NSW
2277AA,25/06/2023,15,51,5,Unit,120,158,24.00,Parts,Siding,NSW
2267CA,25/06/2023,3,60,1,Unit,60,91,15.00,Parts,Shiplap,NSW
2265BA,25/06/2023,6,6,1,Unit,120,184,22.00,Parts,Beadboard,NSW
2212CA,25/06/2023,2,16,5,Unit,60,87,19.00,Parts,Door Sweep,QLD
2212AA,25/06/2023,8,30,4,Unit,120,180,23.00,Parts,Door Stop,QLD
2200CA,25/06/2023,14,9,3,Unit,60,89,21.00,Parts,Kick Plate,QLD
2189CA,25/06/2023,4,4,3,Unit,60,95,6.00,Parts,Door Viewer,NSW
2173CA,25/06/2023,10,7,6,Unit,60,92,29.00,Parts,Countertop Trim,NSW
2170BA,25/06/2023,6,37,7,Unit,120,171,18.00,Parts,Cabinet Shelf,NSW
2143AA,25/06/2023,3,35,2,Unit,120,192,17.00,Parts,Door Screen,NSW
2142CA,25/06/2023,11,1,2,Unit,60,91,13.00,Parts,Window Screen,NSW
2139BA,25/06/2023,3,19,5,Unit,120,176,23.00,Parts,Cabinet Frame Trim,NSW
2025AA,25/06/2023,12,5,5,Unit,60,80,15.00,Parts,Armrest Support,NSW
2021CA,25/06/2023,14,10,0,Unit,60,86,9.00,Parts,Seat Frame,NSW
2016CA,25/06/2023,14,29,2,Unit,60,86,15.00,Parts,Seat Cushion,QLD
2013AA,25/06/2023,8,45,2,Unit,120,189,6.00,Parts,Backrest,QLD
1995AA,25/06/2023,9,42,3,Unit,120,160,14.00,Main,Armrest,NSW
1994AA,25/06/2023,14,1,6,Unit,60,91,13.00,Main,Chest of Drawers Hardware,NSW
1993AA,25/06/2023,2,48,1,Unit,60,94,18.00,Main,Chest of Drawers Drawers,NSW
1992AA,25/06/2023,0,42,2,Unit,60,92,26.00,Main,Chest of Drawers Frame,NSW
1990AA,25/06/2023,14,27,7,Unit,60,79,29.00,Main,Futon Cover,NSW
1979AA,25/06/2023,3,4,6,Unit,60,94,26.00,Main,Futon Mattress,NSW
1971AA,25/06/2023,12,38,5,Unit,120,177,25.00,Main,Futon Frame,NSW
1970CA,25/06/2023,9,8,7,Unit,60,96,12.00,Main,Bunk Bed Ladder,NSW
1967BA,25/06/2023,2,3,5,Unit,120,163,17.00,Main,Bunk Bed Rails,NSW
1876AA,25/06/2023,10,34,5,Unit,30,40,18.00,Main,Nightstand Top,NSW
1872CA,25/06/2023,9,46,0,Unit,60,89,14.00,Main,Dresser Knobs,NSW
1857AA,25/06/2023,4,10,6,Unit,60,89,24.00,Main,Dresser Hardware,QLD
1851CA,25/06/2023,3,6,2,Unit,60,81,6.00,Main,Dresser Base,QLD
1842BA,25/06/2023,6,35,6,Unit,30,41,12.00,Main,Dresser Top,QLD
1830AA,25/06/2023,9,41,5,Unit,30,44,26.00,Main,Dresser Frame,QLD
1827AA,25/06/2023,6,10,6,Unit,30,48,20.00,Main,Dresser Drawers,QLD
1766CA,25/06/2023,13,34,1,Unit,15,24,24.00,Main,Sectional Sofa Fabric,NSW
1764AA,25/06/2023,10,13,2,Unit,15,23,5.00,Main,Sectional Sofa Leg,NSW
1745BA,25/06/2023,3,0,5,Unit,15,20,16.00,Main,Sectional Sofa Armrest,NSW
1741BA,25/06/2023,15,46,1,Unit,30,41,20.00,Main,Sectional Sofa Back,NSW
1716AA,25/06/2023,13,59,7,Unit,15,21,28.00,Main,Sectional Sofa Seat,QLD
1712AA,25/06/2023,8,18,5,Unit,15,21,6.00,Main,Sectional Sofa Frame,QLD
1708AA,25/06/2023,13,52,0,Unit,15,23,25.00,Main,Sofa Cushion,NSW
1698CA,25/06/2023,6,37,2,Unit,15,24,22.00,Main,Sofa Upholstery,NSW
1695CA,25/06/2023,1,47,2,Unit,15,22,24.00,Main,Sofa Armrests,NSW
1688CA,25/06/2023,14,33,4,Unit,60,79,7.00,Main,Sofa Legs,NSW
1681CA,25/06/2023,5,4,7,Unit,30,47,5.00,Main,Sofa Frame,QLD
1678CA,25/06/2023,5,50,3,Unit,60,87,9.00,Main,Sofa Seat Cushion,QLD
1672AA,25/06/2023,8,4,6,Unit,15,24,18.00,Main,Sofa Backrest,QLD
1668CA,25/06/2023,16,41,6,Unit,30,46,20.00,Main,Chair Fabric,QLD
1650AA,25/06/2023,6,29,3,Unit,60,93,23.00,Main,Chair Padding,QLD
1630BA,25/06/2023,9,40,0,Unit,60,91,23.00,Main,Chair Armrests,QLD
1624CA,25/06/2023,11,6,4,Unit,30,48,27.00,Main,Chair Legs,QLD
1624AA,25/06/2023,23,45,7,Unit,15,21,7.00,Main,Chair Frame,NSW
1601AA,25/06/2023,6,30,4,Unit,30,42,13.00,Main,Chair Seat Cushion,NSW
1586CA,25/06/2023,13,27,1,Unit,30,40,20.00,Main,Chair Backrest,NSW
1584BA,25/06/2023,2,27,1,Unit,45,65,19.00,Main,Lawn Chair Cushion,NSW
1582CA,25/06/2023,8,28,3,Unit,45,63,23.00,Main,Lawn Chair Mesh,NSW
1571AA,25/06/2023,12,18,0,Unit,60,93,4.20,Main,Lawn Chair Fabric,NSW
1514BA,25/06/2023,13,27,3,Unit,45,68,9.30,Main,Lawn Chair Leg,NSW
1511CA,25/06/2023,14,11,0,Unit,30,41,6.79,Main,Lawn Chair Armrest,NSW
1499CA,25/06/2023,2,12,1,Unit,60,86,7.00,Main,Lawn Chair Back,NSW
1499AA,25/06/2023,3,14,4,Unit,20,30,14.22,Main,Lawn Chair Seat,NSW
1497CA,25/06/2023,15,15,6,Unit,40,53,16.72,Main,Lawn Chair Frame,NSW
1491CA,25/06/2023,14,19,0,Unit,30,43,30.00,Main,Lawn table,QLD
1488CA,25/06/2023,12,47,1,Unit,15,22,30.00,Main,Ottoman Upholstery,QLD
1488BA,25/06/2023,8,44,3,Unit,30,47,18.00,Main,Ottoman Cushion,QLD
1486CA,25/06/2023,6,54,5,Unit,60,81,19.00,Main,Ottoman Fabric,QLD
1484BA,25/06/2023,3,32,3,Unit,15,23,0.20,Main,Ottoman Padding,QLD
1283CA,25/06/2023,12,1,5,Unit,60,92,3.00,Main,Desk Hardware,NSW
1281BA,25/06/2023,1,42,4,Unit,60,85,5.00,Main,Desk Drawers,NSW
1266CA,25/06/2023,6,58,5,Unit,60,86,16.00,Main,Desk Legs,QLD
1265CA,25/06/2023,12,17,4,Unit,60,79,4.00,Main,Desk Frame,QLD
1255CA,25/06/2023,11,17,7,Unit,60,83,24.00,Main,Desk Top,NSW
1244AA,25/06/2023,11,2,6,Unit,45,67,22.00,Main,Countertop Backsplash,NSW
1234BA,25/06/2023,6,44,1,Unit,45,63,18.00,Main,Countertop Edge,NSW
1224AA,25/06/2023,0,16,4,Unit,90,121,51.00,Main,Countertop Surface,NSW
1214CA,25/06/2023,11,15,6,Unit,30,43,26.00,Main,Cabinet Frame,NSW
1083AA,25/06/2023,4,56,5,Unit,45,68,29.02,Main,Window Sash,NSW
1077CA,25/06/2023,2,19,3,Unit,45,70,22.98,Main,Window Glass,NSW
1009AA,25/06/2023,4,21,2,Unit,30,48,28.76,Main,Window Frame,QLD
3619CA,18/06/2023,10,56,6,Unit,15,22,13.00,Accessories,Furniture Leg Pads,NSW
3616CA,18/06/2023,14,43,1,Unit,120,167,22.00,Accessories,Countertop Sealer,NSW
3610AA,18/06/2023,12,18,6,Unit,120,188,5.00,Accessories,Cabinet Shelf Supports,QLD
3551CA,18/06/2023,9,23,7,Unit,20,31,5.00,Accessories,Furniture Lacquer,QLD
3345AA,18/06/2023,15,40,7,Unit,40,61,11.00,Accessories,Polishing Compound,NSW
3332CA,18/06/2023,12,41,7,Unit,30,46,28.00,Accessories,Safety rail,NSW
3322AA,18/06/2023,12,45,3,Unit,60,90,21.00,Accessories,Acrylic Gloss Finish,NSW
3312AA,18/06/2023,0,58,3,Unit,60,84,18.00,Accessories,Universal bracket,NSW
3300CA,18/06/2023,12,56,3,Unit,30,42,17.00,Accessories,Cranked hook,NSW
3205AA,18/06/2023,1,32,6,Unit,60,91,11.00,Accessories,Door Frame Trim,NSW
3193AA,18/06/2023,2,46,4,Unit,15,22,16.00,Accessories,Door Latch Plate,NSW
3178CA,18/06/2023,11,53,6,Unit,30,47,6.00,Accessories,Door Lock Installation Kit,NSW
3177CA,18/06/2023,6,45,2,Unit,30,42,10.00,Accessories,Window Lock Key,QLD
3161BA,18/06/2023,11,39,6,Unit,30,48,16.00,Accessories,Window Latch Handle,QLD
3160BA,18/06/2023,14,28,3,Unit,30,46,17.00,Accessories,Window Frame Hardware,QLD
3143CA,18/06/2023,3,60,2,Unit,30,41,9.00,Accessories,Window Locking Mechanism,QLD
3138CA,18/06/2023,10,22,6,Unit,15,21,27.00,Accessories,Outdoor Glass Paneling,QLD
3132BA,18/06/2023,14,37,2,Unit,15,24,19.00,Accessories,Glass Table Frame,QLD
3126BA,18/06/2023,6,60,0,Unit,60,82,12.00,Accessories,Countertop Glass Surface,NSW
3075AA,18/06/2023,14,55,5,Unit,30,47,16.00,Accessories,Door Latch Mechanism,QLD
3053AA,18/06/2023,8,7,0,Unit,15,23,18.00,Accessories,Window Screen Frame,QLD
3044AA,18/06/2023,5,10,5,Unit,15,21,7.00,Accessories,Window Lock System,QLD
3038BA,18/06/2023,1,45,2,Unit,15,22,6.00,Accessories,Outdoor Glass Panels,QLD
3027CA,18/06/2023,14,26,7,Unit,30,46,12.00,Accessories,Glass Tabletop,QLD
3025CA,18/06/2023,0,13,2,Unit,30,45,17.00,Accessories,Glass Countertop,QLD
3016BA,18/06/2023,8,44,2,Unit,60,79,26.00,Accessories,Glass Cabinet Door,QLD
3007CA,18/06/2023,11,28,2,Unit,30,47,14.00,Accessories,Glass Door Panel,NSW
3006CA,18/06/2023,7,50,7,Unit,60,79,5.00,Accessories,Glass Window Pane,NSW
3003AA,18/06/2023,8,19,3,Unit,30,44,7.00,Accessories,Bathroom Door Lock,NSW
2994CA,18/06/2023,0,36,1,Unit,30,48,24.00,Parts,Futon Parts,NSW
2988AA,18/06/2023,5,26,0,Unit,30,40,8.00,Parts,Futon Accessories,NSW
2987AA,18/06/2023,13,27,4,Unit,30,43,28.00,Parts,Headboard slat,QLD
2982AA,18/06/2023,15,22,7,Unit,30,48,25.00,Parts,Bed frame cleat,QLD
2977BA,18/06/2023,11,19,6,Unit,60,89,12.00,Parts,Bed Upholstery,NSW
2970CA,18/06/2023,2,14,5,Unit,60,96,27.00,Parts,Dresser Decor,NSW
2680BA,18/06/2023,14,25,1,Unit,45,68,24.00,Parts,Window Handle,NSW
2673BA,18/06/2023,9,26,4,Unit,60,95,22.00,Parts,Window Lock,NSW
2672BA,18/06/2023,10,23,7,Unit,120,171,14.00,Parts,Countertop Support Bracket,NSW
2670CA,18/06/2023,10,15,0,Unit,60,82,28.00,Parts,Countertop Joining Bracket,NSW
2662CA,18/06/2023,9,24,4,Unit,60,82,13.00,Parts,Cabinet Pull,NSW
2661CA,18/06/2023,2,43,6,Unit,120,157,16.00,Parts,Cabinet Drawer,NSW
2646AA,18/06/2023,11,7,5,Unit,120,157,16.00,Parts,Cabinet Knob,NSW
2640BA,18/06/2023,5,46,1,Unit,60,84,30.00,Parts,Door Hinge Plate,NSW
2632AA,18/06/2023,5,48,2,Unit,30,41,12.00,Parts,Door Hinge Pin,NSW
2621AA,18/06/2023,5,54,1,Unit,60,80,9.00,Parts,Window Latch,NSW
2606AA,18/06/2023,13,45,3,Unit,60,79,6.00,Parts,Threaded Insert,QLD
2604CA,18/06/2023,13,17,7,Unit,30,42,10.00,Parts,T-Nut,QLD
2600BA,18/06/2023,12,10,3,Unit,60,80,19.00,Parts,Angle Bracket,QLD
2573CA,18/06/2023,3,16,2,Unit,60,81,29.00,Parts,Corner Brace,QLD
2565CA,18/06/2023,14,59,7,Unit,30,40,18.00,Parts,Tension Pin,QLD
2564BA,18/06/2023,14,29,2,Unit,60,96,10.00,Parts,Wing Nut,QLD
2555CA,18/06/2023,5,12,0,Unit,30,44,12.00,Parts,Cap Nut,QLD
2548CA,18/06/2023,13,5,4,Unit,30,41,19.00,Parts,Lag Screw,QLD
2539AA,18/06/2023,12,44,1,Unit,30,45,23.00,Parts,Carriage Bolt,QLD
2429BA,18/06/2023,2,27,5,Unit,90,122,28.00,Parts,Furniture Connector,QLD
2422BA,18/06/2023,8,28,1,Unit,30,45,28.00,Parts,Table Leg,QLD
2418CA,18/06/2023,12,9,4,Unit,60,85,13.00,Parts,Furniture Feet,QLD
2396CA,18/06/2023,7,12,2,Unit,30,46,6.00,Parts,Table Leg ,NSW
2391CA,18/06/2023,7,25,3,Unit,45,67,26.00,Parts,Turned Leg,NSW
2371CA,18/06/2023,1,27,7,Unit,90,136,28.00,Parts,Dowel Rod,NSW
2365AA,18/06/2023,7,18,6,Unit,60,83,7.00,Parts,Dowel Pin,NSW
2359CA,18/06/2023,12,20,4,Unit,90,121,22.00,Parts,Finial,NSW
2348BA,18/06/2023,10,10,6,Unit,60,89,14.00,Parts,Newel Post,NSW
2342CA,18/06/2023,6,21,4,Unit,60,86,6.00,Parts,Baluster,QLD
2337CA,18/06/2023,1,15,1,Unit,60,83,22.00,Parts,Rail Bracket,QLD
2336BA,18/06/2023,9,17,4,Unit,30,44,20.00,Parts,Post Cap,QLD
2331CA,18/06/2023,5,55,0,Unit,60,83,11.00,Parts,Bracket,QLD
2326CA,18/06/2023,13,46,4,Unit,30,46,24.00,Parts,Corbel,QLD
2317CA,18/06/2023,1,41,1,Unit,60,89,18.00,Parts,Corner Block,NSW
2315BA,18/06/2023,14,18,3,Unit,120,182,19.00,Parts,Corner Bead,NSW
2293AA,18/06/2023,10,59,7,Unit,60,79,23.00,Parts,Corner Guard,NSW
2291AA,18/06/2023,6,60,0,Unit,120,191,25.00,Parts,Trim Board,NSW
2277AA,18/06/2023,14,23,5,Unit,120,158,24.00,Parts,Siding,NSW
2267CA,18/06/2023,12,40,2,Unit,60,91,15.00,Parts,Shiplap,NSW
2265BA,18/06/2023,5,21,0,Unit,120,184,22.00,Parts,Beadboard,NSW
2212CA,18/06/2023,2,60,0,Unit,60,87,19.00,Parts,Door Sweep,QLD
2212AA,18/06/2023,14,51,3,Unit,120,180,23.00,Parts,Door Stop,QLD
2200CA,18/06/2023,5,11,5,Unit,60,89,21.00,Parts,Kick Plate,QLD
2189CA,18/06/2023,12,18,1,Unit,60,95,6.00,Parts,Door Viewer,NSW
2173CA,18/06/2023,10,47,5,Unit,60,92,29.00,Parts,Countertop Trim,NSW
2170BA,18/06/2023,5,5,7,Unit,120,171,18.00,Parts,Cabinet Shelf,NSW
2143AA,18/06/2023,9,13,1,Unit,120,192,17.00,Parts,Door Screen,NSW
2142CA,18/06/2023,8,58,0,Unit,60,91,13.00,Parts,Window Screen,NSW
2139BA,18/06/2023,8,57,1,Unit,120,176,23.00,Parts,Cabinet Frame Trim,NSW
2025AA,18/06/2023,4,54,2,Unit,60,80,15.00,Parts,Armrest Support,NSW
2021CA,18/06/2023,4,10,5,Unit,60,86,9.00,Parts,Seat Frame,NSW
2016CA,18/06/2023,13,5,4,Unit,60,86,15.00,Parts,Seat Cushion,QLD
2013AA,18/06/2023,13,59,0,Unit,120,189,6.00,Parts,Backrest,QLD
1995AA,18/06/2023,14,40,3,Unit,120,160,14.00,Main,Armrest,NSW
1994AA,18/06/2023,11,20,4,Unit,60,91,13.00,Main,Chest of Drawers Hardware,NSW
1993AA,18/06/2023,15,10,6,Unit,60,94,18.00,Main,Chest of Drawers Drawers,NSW
1992AA,18/06/2023,9,44,2,Unit,60,92,26.00,Main,Chest of Drawers Frame,NSW
1990AA,18/06/2023,12,35,4,Unit,60,79,29.00,Main,Futon Cover,NSW
1979AA,18/06/2023,10,16,6,Unit,60,94,26.00,Main,Futon Mattress,NSW
1971AA,18/06/2023,7,25,7,Unit,120,177,25.00,Main,Futon Frame,NSW
1970CA,18/06/2023,1,25,7,Unit,60,96,12.00,Main,Bunk Bed Ladder,NSW
1967BA,18/06/2023,6,23,5,Unit,120,163,17.00,Main,Bunk Bed Rails,NSW
1876AA,18/06/2023,8,10,2,Unit,30,40,18.00,Main,Nightstand Top,NSW
1872CA,18/06/2023,7,28,2,Unit,60,89,14.00,Main,Dresser Knobs,NSW
1857AA,18/06/2023,12,23,3,Unit,60,89,24.00,Main,Dresser Hardware,QLD
1851CA,18/06/2023,8,17,6,Unit,60,81,6.00,Main,Dresser Base,QLD
1842BA,18/06/2023,7,25,5,Unit,30,41,12.00,Main,Dresser Top,QLD
1830AA,18/06/2023,4,10,4,Unit,30,44,26.00,Main,Dresser Frame,QLD
1827AA,18/06/2023,10,20,5,Unit,30,48,20.00,Main,Dresser Drawers,QLD
1766CA,18/06/2023,8,27,6,Unit,15,24,24.00,Main,Sectional Sofa Fabric,NSW
1764AA,18/06/2023,14,5,2,Unit,15,23,5.00,Main,Sectional Sofa Leg,NSW
1745BA,18/06/2023,1,21,1,Unit,15,20,16.00,Main,Sectional Sofa Armrest,NSW
1741BA,18/06/2023,8,20,4,Unit,30,41,20.00,Main,Sectional Sofa Back,NSW
1716AA,18/06/2023,11,21,4,Unit,15,21,28.00,Main,Sectional Sofa Seat,QLD
1712AA,18/06/2023,0,54,0,Unit,15,21,6.00,Main,Sectional Sofa Frame,QLD
1708AA,18/06/2023,4,29,1,Unit,15,23,25.00,Main,Sofa Cushion,NSW
1698CA,18/06/2023,15,13,1,Unit,15,24,22.00,Main,Sofa Upholstery,NSW
1695CA,18/06/2023,9,49,6,Unit,15,22,24.00,Main,Sofa Armrests,NSW
1688CA,18/06/2023,13,44,5,Unit,60,79,7.00,Main,Sofa Legs,NSW
1681CA,18/06/2023,13,17,0,Unit,30,47,5.00,Main,Sofa Frame,QLD
1678CA,18/06/2023,11,13,6,Unit,60,87,9.00,Main,Sofa Seat Cushion,QLD
1672AA,18/06/2023,5,12,3,Unit,15,24,18.00,Main,Sofa Backrest,QLD
1668CA,18/06/2023,13,27,2,Unit,30,46,20.00,Main,Chair Fabric,QLD
1650AA,18/06/2023,4,14,6,Unit,60,93,23.00,Main,Chair Padding,QLD
1630BA,18/06/2023,14,21,5,Unit,60,91,23.00,Main,Chair Armrests,QLD
1624CA,18/06/2023,4,24,4,Unit,30,48,27.00,Main,Chair Legs,QLD
1624AA,18/06/2023,3,18,6,Unit,15,21,7.00,Main,Chair Frame,NSW
1601AA,18/06/2023,9,17,3,Unit,30,42,13.00,Main,Chair Seat Cushion,NSW
1586CA,18/06/2023,5,26,0,Unit,30,40,20.00,Main,Chair Backrest,NSW
1584BA,18/06/2023,15,16,3,Unit,45,65,19.00,Main,Lawn Chair Cushion,NSW
1582CA,18/06/2023,5,32,3,Unit,45,63,23.00,Main,Lawn Chair Mesh,NSW
1571AA,18/06/2023,14,5,5,Unit,60,93,4.20,Main,Lawn Chair Fabric,NSW
1514BA,18/06/2023,11,9,5,Unit,45,68,9.30,Main,Lawn Chair Leg,NSW
1511CA,18/06/2023,11,24,7,Unit,30,41,6.79,Main,Lawn Chair Armrest,NSW
1499CA,18/06/2023,3,40,3,Unit,60,86,7.00,Main,Lawn Chair Back,NSW
1499AA,18/06/2023,10,23,6,Unit,20,30,14.22,Main,Lawn Chair Seat,NSW
1497CA,18/06/2023,6,8,0,Unit,40,53,16.72,Main,Lawn Chair Frame,NSW
1491CA,18/06/2023,14,14,5,Unit,30,43,30.00,Main,Lawn table,QLD
1488CA,18/06/2023,6,23,7,Unit,15,22,30.00,Main,Ottoman Upholstery,QLD
1488BA,18/06/2023,15,19,2,Unit,30,47,18.00,Main,Ottoman Cushion,QLD
1486CA,18/06/2023,12,17,0,Unit,60,81,19.00,Main,Ottoman Fabric,QLD
1484BA,18/06/2023,8,22,2,Unit,15,23,0.20,Main,Ottoman Padding,QLD
1283CA,18/06/2023,8,30,2,Unit,60,92,3.00,Main,Desk Hardware,NSW
1281BA,18/06/2023,9,26,0,Unit,60,85,5.00,Main,Desk Drawers,NSW
1266CA,18/06/2023,14,18,4,Unit,60,86,16.00,Main,Desk Legs,QLD
1265CA,18/06/2023,11,23,2,Unit,60,79,4.00,Main,Desk Frame,QLD
1255CA,18/06/2023,6,31,0,Unit,60,83,24.00,Main,Desk Top,NSW
1244AA,18/06/2023,15,48,1,Unit,45,67,22.00,Main,Countertop Backsplash,NSW
1234BA,18/06/2023,0,3,0,Unit,45,63,18.00,Main,Countertop Edge,NSW
1224AA,18/06/2023,12,11,3,Unit,90,121,51.00,Main,Countertop Surface,NSW
1214CA,18/06/2023,5,3,3,Unit,30,43,26.00,Main,Cabinet Frame,NSW
1083AA,18/06/2023,5,54,6,Unit,45,68,29.02,Main,Window Sash,NSW
1077CA,18/06/2023,5,54,6,Unit,45,70,22.98,Main,Window Glass,NSW
1009AA,18/06/2023,10,34,7,Unit,30,48,28.76,Main,Window Frame,QLD
3619CA,11/06/2023,15,3,2,Unit,15,22,13.00,Accessories,Furniture Leg Pads,NSW
